CSV-Export;Version: 1.01;Separator: Semicolon

;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009;WR6KU009
;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353;2001888353
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
06:20;0: -----;43322.82;0: -------;25484.01;59.98;2: 208V;13229;12611.48;0;0;3: Waiting;0;2667;2001888353;21.21;209.47;209.24
06:25;0: -----;43322.82;0: -------;25484.01;59.99;2: 208V;13229.08;12611.48;0;0;3: Waiting;0;2667;2001888353;21.22;209.19;240.5
06:30;0: -----;43322.82;0: -------;25484.01;59.99;2: 208V;13229.16;12611.48;0;0;3: Waiting;0;2667;2001888353;21.26;209.14;269.24
06:35;0: -----;43322.82;0: -------;25484.01;59.97;2: 208V;13229.25;12611.48;0;0.01;7: Mpp;0.29;2668;2001888353;21.28;209.15;288.78
06:40;0: -----;43322.82;0: -------;25484.01;59.96;2: 208V;13229.33;12611.56;0.05;0.15;7: Mpp;9.85;2668;2001888353;21.3;209.12;253.49
06:45;0: -----;43322.82;0: -------;25484.01;59.97;2: 208V;13229.41;12611.65;0.12;0.23;7: Mpp;24.99;2668;2001888353;21.93;209.09;254
06:50;0: -----;43322.83;0: -------;25484.02;59.97;2: 208V;13229.5;12611.73;0.23;0.33;7: Mpp;48.66;2668;2001888353;22;209.14;251.86
06:55;0: -----;43322.84;0: -------;25484.02;60;2: 208V;13229.58;12611.81;0.37;0.45;7: Mpp;78.01;2668;2001888353;22.24;209.37;251.53
07:00;0: -----;43322.85;0: -------;25484.03;59.99;2: 208V;13229.66;12611.9;0.47;0.53;7: Mpp;98.81;2668;2001888353;22.58;209.38;253.84
07:05;0: -----;43322.87;0: -------;25484.04;59.98;2: 208V;13229.75;12611.98;0.6;0.63;7: Mpp;126.47;2668;2001888353;22.63;209.46;256.16
07:10;0: -----;43322.89;0: -------;25484.05;59.98;2: 208V;13229.83;12612.06;0.72;0.73;7: Mpp;149.88;2668;2001888353;23.14;209.15;257.08
07:15;0: -----;43322.92;0: -------;25484.07;59.97;2: 208V;13229.91;12612.15;0.85;0.82;7: Mpp;177.69;2668;2001888353;23.2;209.31;262.04
07:20;0: -----;43322.94;0: -------;25484.09;59.97;2: 208V;13230;12612.23;0.95;0.91;7: Mpp;198.41;2668;2001888353;23.55;209.33;258.26
07:25;0: -----;43322.98;0: -------;25484.11;59.98;2: 208V;13230.08;12612.31;1.26;1.13;7: Mpp;263.47;2668;2001888353;23.85;209.45;268.28
07:30;0: -----;43323.03;0: -------;25484.14;59.98;2: 208V;13230.16;12612.4;1.68;1.46;7: Mpp;352.47;2668;2001888353;24.48;209.48;269.47
07:35;0: -----;43323.08;0: -------;25484.16;59.98;2: 208V;13230.25;12612.48;1.61;1.42;7: Mpp;337.48;2668;2001888353;24.57;209.37;266.71
07:40;0: -----;43323.13;0: -------;25484.19;59.97;2: 208V;13230.33;12612.56;1.56;1.36;7: Mpp;325.61;2668;2001888353;25.08;209.2;269.11
07:45;0: -----;43323.18;0: -------;25484.22;59.98;2: 208V;13230.41;12612.65;1.64;1.41;7: Mpp;342.15;2668;2001888353;25.1;209.14;271.1
07:50;0: -----;43323.22;0: -------;25484.25;59.98;2: 208V;13230.5;12612.73;1.69;1.47;7: Mpp;354.25;2668;2001888353;25.32;209.15;267.97
07:55;0: -----;43323.28;0: -------;25484.28;60;2: 208V;13230.58;12612.81;1.92;1.63;7: Mpp;401.05;2668;2001888353;25.7;209.14;271.8
08:00;0: -----;43323.35;0: -------;25484.32;60.01;2: 208V;13230.66;12612.9;2.24;1.86;7: Mpp;468.42;2668;2001888353;26.17;209.09;274.81
08:05;0: -----;43323.43;0: -------;25484.37;60;2: 208V;13230.75;12612.98;2.61;2.13;7: Mpp;544.82;2668;2001888353;26.67;209.08;276.47
08:10;0: -----;43323.51;0: -------;25484.42;60.01;2: 208V;13230.83;12613.06;2.77;2.23;7: Mpp;578.15;2668;2001888353;27.02;208.98;279.1
08:15;0: -----;43323.6;0: -------;25484.47;60;2: 208V;13230.91;12613.15;3.07;2.49;7: Mpp;641.41;2668;2001888353;27.56;209.03;275.65
