16:15,3356.37,63.52,209.7,2015-05-02
16:20,3293.41,63.5,209.56,2015-05-02
16:25,3115.8,63.02,209.69,2015-05-02
16:30,2986.93,62.36,209.66,2015-05-02
16:35,2905.82,61.86,209.61,2015-05-02
16:40,2658.5,60.76,209.5,2015-05-02
16:45,2719.18,60.65,209.56,2015-05-02
16:50,2509.65,59.56,209.64,2015-05-02
16:55,2751.68,59.94,209.64,2015-05-02
17:00,2566.5,59.51,209.5,2015-05-02
17:05,2438.41,58.82,209.5,2015-05-02
17:10,2370.61,58.24,209.54,2015-05-02
17:15,2399.34,57.96,209.56,2015-05-02
17:20,2153.74,57.08,209.48,2015-05-02
17:25,2070.99,56.62,209.38,2015-05-02
17:30,1992.97,55.7,209.45,2015-05-02
17:35,1987.3,55.27,209.3,2015-05-02
17:40,1856.38,54.69,209.33,2015-05-02
17:45,1469.39,53.06,209.35,2015-05-02
17:50,1251.36,51.48,209.25,2015-05-02
17:55,900.47,49.85,209.08,2015-05-02
18:00,585.05,47.97,209.08,2015-05-02
18:05,486.34,46.59,209.23,2015-05-02
18:10,441.86,45.55,209.24,2015-05-02
18:15,373.36,44.48,209.24,2015-05-02
18:20,335.51,43.64,208.99,2015-05-02
18:25,357.68,43.15,209.07,2015-05-02
18:30,367.72,42.65,209.02,2015-05-02
18:35,331.77,42.12,209.05,2015-05-02
18:40,271.03,41.64,208.92,2015-05-02
18:45,204.84,40.99,209.02,2015-05-02
18:50,181.66,40.47,209.18,2015-05-02
18:55,153.65,39.99,209.37,2015-05-02
19:00,131.89,39.58,209.24,2015-05-02
19:05,122.65,39.01,209.21,2015-05-02
19:10,108.32,38.69,209.1,2015-05-02
19:15,120.99,38.3,209.1,2015-05-02
19:20,86.11,38.14,209.07,2015-05-02
19:25,63.35,37.69,209.01,2015-05-02
19:30,48.24,37.38,208.93,2015-05-02
19:35,34.09,37.1,208.94,2015-05-02
19:40,15.82,36.99,208.85,2015-05-02
19:45,3.5,36.33,208.83,2015-05-02
19:50,0,35.8,208.82,2015-05-02
19:55,0,35.43,209.36,2015-05-02
20:00,0,35.19,209.3,2015-05-02
20:05,0,34.94,209.23,2015-05-02
