TimeStep,VarDate,Pac,Temperature,Vac
17:25,2015-05-01,1151.31,47.11,210.21
17:30,2015-05-01,1016.03,46.45,209.89
17:35,2015-05-01,948.33,45.74,210.24
17:40,2015-05-01,826.47,44.95,209.98
17:45,2015-05-01,743.61,44.26,209.94
17:50,2015-05-01,664.68,43.54,209.91
17:55,2015-05-01,660.24,43.06,209.94
18:00,2015-05-01,643.71,42.69,209.95
18:05,2015-05-01,506.11,41.96,209.92
18:10,2015-05-01,450.16,41.31,209.92
18:15,2015-05-01,468.03,40.8,210.23
18:20,2015-05-01,354.62,40.26,210.06
18:25,2015-05-01,345.12,39.86,209.92
18:30,2015-05-01,328.55,39.58,210.18
18:35,2015-05-01,297.97,39,210.13
18:40,2015-05-01,284.62,38.68,209.94
18:45,2015-05-01,201.65,38.28,210
18:50,2015-05-01,173.23,37.76,209.96
18:55,2015-05-01,149.95,37.52,210.02
19:00,2015-05-01,111.7,37.1,210.02
19:05,2015-05-01,94.66,36.66,209.98
19:10,2015-05-01,72.15,36.38,209.97
19:15,2015-05-01,54.31,35.89,210.06
19:20,2015-05-01,30.73,35.78,209.94
19:25,2015-05-01,10.93,35.31,209.87
19:30,2015-05-01,1.33,35.02,209.72
19:35,2015-05-01,0,34.5,209.64
19:40,2015-05-01,0,34,209.71
19:45,2015-05-01,0,33.89,209.74
19:50,2015-05-01,0,33.38,209.8
19:55,2015-05-01,0,33.18,209.87
06:20,2015-05-02,0,21.21,209.47
06:25,2015-05-02,0,21.22,209.19
06:30,2015-05-02,0,21.26,209.14
06:35,2015-05-02,0.29,21.28,209.15
06:40,2015-05-02,9.85,21.3,209.12
06:45,2015-05-02,24.99,21.93,209.09
06:50,2015-05-02,48.66,22,209.14
06:55,2015-05-02,78.01,22.24,209.37
07:00,2015-05-02,98.81,22.58,209.38
07:05,2015-05-02,126.47,22.63,209.46
07:10,2015-05-02,149.88,23.14,209.15
07:15,2015-05-02,177.69,23.2,209.31
07:20,2015-05-02,198.41,23.55,209.33
07:25,2015-05-02,263.47,23.85,209.45
07:30,2015-05-02,352.47,24.48,209.48
07:35,2015-05-02,337.48,24.57,209.37
07:40,2015-05-02,325.61,25.08,209.2
07:45,2015-05-02,342.15,25.1,209.14
07:50,2015-05-02,354.25,25.32,209.15
07:55,2015-05-02,401.05,25.7,209.14
08:00,2015-05-02,468.42,26.17,209.09
08:05,2015-05-02,544.82,26.67,209.08
08:10,2015-05-02,578.15,27.02,208.98
08:15,2015-05-02,641.41,27.56,209.03
08:20,2015-05-02,738.49,28.24,209.4
08:25,2015-05-02,863.35,29.09,209.48
08:30,2015-05-02,930.49,29.72,209.41
08:35,2015-05-02,1104.67,30.64,209.56
08:40,2015-05-02,1054.84,31.39,209.57
08:45,2015-05-02,1019.79,31.43,209.53
08:50,2015-05-02,1073.77,31.96,209.5
08:55,2015-05-02,1025.5,32,209.47
09:00,2015-05-02,1102.14,32.61,209.6
09:05,2015-05-02,1292.7,33.52,209.45
09:10,2015-05-02,1320.12,34.04,209.31
09:15,2015-05-02,1446.96,34.89,209.24
09:20,2015-05-02,1400,35.2,209.15
09:25,2015-05-02,1496.51,35.78,209.15
09:30,2015-05-02,1453.01,36.26,209.15
09:35,2015-05-02,1337.89,36.24,209.11
09:40,2015-05-02,2627.82,39.1,209.54
09:45,2015-05-02,3715.35,45.56,209.95
09:50,2015-05-02,2958.48,46.59,209.74
09:55,2015-05-02,2289.56,45.06,209.47
10:00,2015-05-02,3219.35,46.99,209.83
10:05,2015-05-02,3386.66,49.13,209.8
10:10,2015-05-02,3584.57,51.18,209.76
10:15,2015-05-02,3703.91,53,209.69
10:20,2015-05-02,3687.74,53.86,209.91
10:25,2015-05-02,3763.6,54.89,210.47
10:30,2015-05-02,3738.5,55.75,210.75
10:35,2015-05-02,3837.33,56.82,210.64
10:40,2015-05-02,3853.76,57.62,210.5
10:45,2015-05-02,3955.14,58.67,210.42
10:50,2015-05-02,4020.48,59.54,210.59
10:55,2015-05-02,4086.39,60.6,210.67
11:00,2015-05-02,3660.95,60.37,210.57
11:05,2015-05-02,4100.86,61.11,210.27
11:10,2015-05-02,4313.27,62.72,210.23
11:15,2015-05-02,4304.28,63.69,210.18
11:20,2015-05-02,4194.53,64.33,210.19
11:25,2015-05-02,3630.61,63.26,209.83
11:30,2015-05-02,4183.31,63.79,210.03
11:35,2015-05-02,4277.38,65.46,210.05
11:40,2015-05-02,4180.71,65.99,209.92
11:45,2015-05-02,4082.38,66.38,209.84
11:50,2015-05-02,4441.26,66.69,210.04
11:55,2015-05-02,4567.46,68.31,210.04
12:00,2015-05-02,4577.8,69.05,210.11
12:05,2015-05-02,4546.53,69.19,210.16
12:10,2015-05-02,4576.03,65.42,209.99
12:15,2015-05-02,4587.74,63.08,210.08
12:20,2015-05-02,4635.53,61.68,210.26
12:25,2015-05-02,4616.14,60.91,210.24
12:30,2015-05-02,4616.99,60.05,210.32
12:40,2015-05-02,4655.79,59.56,210.31
12:45,2015-05-02,4713.99,59.54,210.35
12:50,2015-05-02,4691.66,59.13,210.22
12:55,2015-05-02,4675.4,59.08,210.35
13:00,2015-05-02,4641.42,58.42,210.28
13:05,2015-05-02,4658.93,58.4,210.41
13:10,2015-05-02,4653.18,58.39,210.37
13:15,2015-05-02,4650.83,58.4,210.23
13:20,2015-05-02,4642.24,58.38,210.34
13:25,2015-05-02,4649.73,58.38,210.27
13:30,2015-05-02,4629.49,58.4,210.24
13:35,2015-05-02,4622.64,58.36,210.26
13:40,2015-05-02,4639.84,58.39,210.27
13:45,2015-05-02,4609.4,58.32,210.25
13:50,2015-05-02,4620.91,58.29,210.32
13:55,2015-05-02,4623.94,58.37,210.3
14:00,2015-05-02,4613.91,58.38,210.28
14:05,2015-05-02,4574.56,58.33,210.25
14:10,2015-05-02,4566.86,58.24,210.26
14:15,2015-05-02,4520.81,57.82,210.31
14:20,2015-05-02,4516.5,57.8,210.35
14:25,2015-05-02,4475.38,57.79,210.35
14:30,2015-05-02,4431.44,57.5,210.19
14:35,2015-05-02,4420.5,57.2,210.15
14:40,2015-05-02,4395.28,57.2,210.15
14:45,2015-05-02,4349.35,57.12,210.18
14:50,2015-05-02,4285.28,56.67,210.18
14:55,2015-05-02,4225.89,56.45,210.1
15:00,2015-05-02,4195.25,55.92,210.13
15:05,2015-05-02,4146.93,55.8,210.15
