1857,1,E2F4:485,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !Hourly
1860,1,E2F4:483,Zone Windows Total Transmitted Solar Radiation Rate [W] !Hourly
1863,1,E2F4:483,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate [W] !Hourly
1866,1,E2F4:483,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !Hourly
1869,1,E2F4:481,Zone Windows Total Transmitted Solar Radiation Rate [W] !Hourly
1872,1,E2F4:481,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate [W] !Hourly
1875,1,E2F4:481,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !Hourly
1878,1,E2F4:479,Zone Windows Total Transmitted Solar Radiation Rate [W] !Hourly
1881,1,E2F4:479,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate [W] !Hourly
1884,1,E2F4:479,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !Hourly
1887,1,E2F4:477,Zone Windows Total Transmitted Solar Radiation Rate [W] !Hourly
1890,1,E2F4:477,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate [W] !Hourly
1893,1,E2F4:477,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !Hourly
1896,1,E2F4:F4%AHU3,Zone Windows Total Transmitted Solar Radiation Rate [W] !Hourly
1899,1,E2F4:F4%AHU3,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate [W] !Hourly
1902,1,E2F4:F4%AHU3,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !Hourly
1905,1,E2F4:F4%AHU5,Zone Windows Total Transmitted Solar Radiation Rate [W] !Hourly
1908,1,E2F4:F4%AHU5,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate [W] !Hourly
1911,1,E2F4:F4%AHU5,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !Hourly
1914,1,E2F3:F3%AHU6,Zone Windows Total Transmitted Solar Radiation Rate [W] !Hourly
1917,1,E2F3:F3%AHU6,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate [W] !Hourly
1920,1,E2F3:F3%AHU6,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !Hourly
1923,1,E2F3:F3%AHU4,Zone Windows Total Transmitted Solar Radiation Rate [W] !Hourly
1926,1,E2F3:F3%AHU4,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate [W] !Hourly
1929,1,E2F3:F3%AHU4,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !Hourly
1932,1,E2F3:F3%AHU5,Zone Windows Total Transmitted Solar Radiation Rate [W] !Hourly
1935,1,E2F3:F3%AHU5,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate [W] !Hourly
1938,1,E2F3:F3%AHU5,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !Hourly
1941,1,E2F3:F3%AHU3,Zone Windows Total Transmitted Solar Radiation Rate [W] !Hourly
1944,1,E2F3:F3%AHU3,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate [W] !Hourly
1947,1,E2F3:F3%AHU3,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !Hourly
1950,1,E2F2:F2%AHU6,Zone Windows Total Transmitted Solar Radiation Rate [W] !Hourly
1953,1,E2F2:F2%AHU6,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate [W] !Hourly
1956,1,E2F2:F2%AHU6,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !Hourly
1959,1,E2F2:F2%AHU4,Zone Windows Total Transmitted Solar Radiation Rate [W] !Hourly
1962,1,E2F2:F2%AHU4,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate [W] !Hourly
1965,1,E2F2:F2%AHU4,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !Hourly
1968,1,E2F2:F2%AHU5,Zone Windows Total Transmitted Solar Radiation Rate [W] !Hourly
1971,1,E2F2:F2%AHU5,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate [W] !Hourly
1974,1,E2F2:F2%AHU5,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !Hourly
1977,1,E2F2:F2%AHU3,Zone Windows Total Transmitted Solar Radiation Rate [W] !Hourly
1980,1,E2F2:F2%AHU3,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate [W] !Hourly
1983,1,E2F2:F2%AHU3,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !Hourly
1986,1,E2F5:F5%AHU6,Zone Windows Total Transmitted Solar Radiation Rate [W] !Hourly
1989,1,E2F5:F5%AHU6,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate [W] !Hourly
1992,1,E2F5:F5%AHU6,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !Hourly
1995,1,E2F5:F5%AHU4,Zone Windows Total Transmitted Solar Radiation Rate [W] !Hourly
1998,1,E2F5:F5%AHU4,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate [W] !Hourly
2001,1,E2F5:F5%AHU4,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !Hourly
2004,1,E2F5:F5%AHU5,Zone Windows Total Transmitted Solar Radiation Rate [W] !Hourly
2007,1,E2F5:F5%AHU5,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate [W] !Hourly
2010,1,E2F5:F5%AHU5,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !Hourly
2013,1,E2F5:F5%AHU3,Zone Windows Total Transmitted Solar Radiation Rate [W] !Hourly
2016,1,E2F5:F5%AHU3,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate [W] !Hourly
2019,1,E2F5:F5%AHU3,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !Hourly
2022,1,E2F1:F1%AHU5,Zone Windows Total Transmitted Solar Radiation Rate [W] !Hourly
2025,1,E2F1:F1%AHU5,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate [W] !Hourly
2028,1,E2F1:F1%AHU5,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !Hourly
2031,1,E2F1:F1%AHU4,Zone Windows Total Transmitted Solar Radiation Rate [W] !Hourly
2034,1,E2F1:F1%AHU4,Zone Interior Windows Total Transmitted Beam Solar Radiation Rate [W] !Hourly
2037,1,E2F1:F1%AHU4,Zone Interior Windows Total Transmitted Diffuse Solar Radiation Rate [W] !Hourly
2040,1,E2F1:F1%AHU3,Zone Windows Total Transmitted Solar Radiation Rate [W] !Hourly
